# t, u(t), y(t)
# ================
3.230000000000000000e+02 2.500000000000000000e+00 3.080239593757323036e+00
3.240000000000000000e+02 2.500000000000000000e+00 7.142937753649708510e-01
3.250000000000000000e+02 2.500000000000000000e+00 1.734027056882629036e+00
3.260000000000000000e+02 -2.500000000000000000e+00 1.467734600116651800e+00
3.270000000000000000e+02 -2.500000000000000000e+00 -7.113668216589036364e-01
3.280000000000000000e+02 -2.500000000000000000e+00 -1.658391596795784961e+00
3.290000000000000000e+02 -2.500000000000000000e+00 -1.276235527750538168e+00
3.300000000000000000e+02 -2.500000000000000000e+00 -1.003652326980959186e+00
3.310000000000000000e+02 -2.500000000000000000e+00 -1.873632893357925600e+00
3.320000000000000000e+02 -2.500000000000000000e+00 -1.609582466006790114e+00
3.330000000000000000e+02 2.500000000000000000e+00 -1.214888786008951671e+00
3.340000000000000000e+02 2.500000000000000000e+00 1.151369636034089705e+00
3.350000000000000000e+02 2.500000000000000000e+00 9.624818226719112912e-01
3.360000000000000000e+02 2.500000000000000000e+00 9.811614963867034689e-01
3.370000000000000000e+02 2.500000000000000000e+00 2.104719797671825710e+00
3.380000000000000000e+02 2.500000000000000000e+00 1.686110585299857245e+00
3.390000000000000000e+02 2.500000000000000000e+00 2.111976596250146887e+00
3.400000000000000000e+02 2.500000000000000000e+00 2.530033454305306684e+00
3.410000000000000000e+02 2.500000000000000000e+00 9.857986528430986439e-01
3.420000000000000000e+02 -2.500000000000000000e+00 1.368548270036103576e+00
3.430000000000000000e+02 -2.500000000000000000e+00 -1.436358074039960631e+00
3.440000000000000000e+02 -2.500000000000000000e+00 -1.380571790954719047e+00
3.450000000000000000e+02 -2.500000000000000000e+00 -1.974365480450505306e+00
3.460000000000000000e+02 -2.500000000000000000e+00 -9.347689046292468884e-01
3.470000000000000000e+02 2.500000000000000000e+00 -1.885930563002631732e+00
3.480000000000000000e+02 2.500000000000000000e+00 1.924584469933642072e+00
3.490000000000000000e+02 2.500000000000000000e+00 1.831032739015403088e+00
3.500000000000000000e+02 2.500000000000000000e+00 9.400373582915536597e-01
3.510000000000000000e+02 2.500000000000000000e+00 2.751859241849923698e+00
3.520000000000000000e+02 2.500000000000000000e+00 1.098162381104699437e+00
3.530000000000000000e+02 -2.500000000000000000e+00 8.414702681164101250e-01
3.540000000000000000e+02 -2.500000000000000000e+00 -1.880204391749783932e+00
3.550000000000000000e+02 2.500000000000000000e+00 -1.540313803991983477e+00
3.560000000000000000e+02 2.500000000000000000e+00 1.899411511056320112e+00
3.570000000000000000e+02 2.500000000000000000e+00 1.552354167678059671e+00
3.580000000000000000e+02 2.500000000000000000e+00 1.687870400871673837e+00
3.590000000000000000e+02 2.500000000000000000e+00 8.746257591610657744e-01
3.600000000000000000e+02 2.500000000000000000e+00 1.305538421396481352e+00
3.610000000000000000e+02 2.500000000000000000e+00 1.743392891093961117e+00
3.620000000000000000e+02 2.500000000000000000e+00 1.680083050856812754e+00
3.630000000000000000e+02 2.500000000000000000e+00 1.327775937322049682e+00
3.640000000000000000e+02 -2.500000000000000000e+00 1.100942932813867348e+00
3.650000000000000000e+02 -2.500000000000000000e+00 -1.898868023006181849e+00
3.660000000000000000e+02 -2.500000000000000000e+00 -1.741345758364609253e+00
3.670000000000000000e+02 -2.500000000000000000e+00 -1.743491606997343624e+00
3.680000000000000000e+02 -2.500000000000000000e+00 -9.919418537915842826e-01
3.690000000000000000e+02 -2.500000000000000000e+00 -1.174594852352484509e+00
3.700000000000000000e+02 2.500000000000000000e+00 -1.276115421560124696e+00
3.710000000000000000e+02 2.500000000000000000e+00 1.646853554630580474e+00
3.720000000000000000e+02 2.500000000000000000e+00 2.246599867712527843e+00
3.730000000000000000e+02 2.500000000000000000e+00 1.470440296227008670e+00
3.740000000000000000e+02 2.500000000000000000e+00 2.312187349821911653e+00
3.750000000000000000e+02 2.500000000000000000e+00 2.989565544310410772e+00
3.760000000000000000e+02 2.500000000000000000e+00 9.707548171963180650e-01
3.770000000000000000e+02 2.500000000000000000e+00 2.122889903543855539e+00
3.780000000000000000e+02 -2.500000000000000000e+00 1.339828761853095740e+00
3.790000000000000000e+02 -2.500000000000000000e+00 -9.700591705652951147e-01
3.800000000000000000e+02 -2.500000000000000000e+00 -1.642492204953093449e+00
3.810000000000000000e+02 -2.500000000000000000e+00 -1.146825295672511791e+00
